secid,date,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,impl_volatility,optionid,forward_price,index_flag,issuer,div_convention,exercise_style
108105,20050103,20060617,20041203,C,700000,507.7,511.7,0,,21576018,1237.278485,1,CBOE S&P 500 INDEX,I,E
108105,20050103,20060617,20041217,C,600000,600.8,604.8,0,,21577198,1237.278485,1,CBOE S&P 500 INDEX,I,E
108105,20050103,20060617,,C,650000,554.2,558.2,0,,23386907,1237.278485,1,CBOE S&P 500 INDEX,I,E
108105,20050103,20060617,20041118,C,850000,371.7,375.7,0,0.188728,21576020,1237.278485,1,CBOE S&P 500 INDEX,I,E
108105,20050103,20060617,,C,750000,461.6,465.6,0,,21576024,1237.278485,1,CBOE S&P 500 INDEX,I,E
108105,20050103,20060617,20041223,C,800000,416.1,420.1,0,0.172283,21577504,1237.278485,1,CBOE S&P 500 INDEX,I,E
108105,20050103,20060617,20041021,C,995000,246.9,250.9,0,0.177254,21576023,1237.278485,1,CBOE S&P 500 INDEX,I,E
108105,20050103,20060617,20041112,C,900000,327.6,331.6,0,0.187513,21576019,1237.278485,1,CBOE S&P 500 INDEX,I,E
108105,20050103,20060617,20041015,C,550000,647.7,651.7,0,,22166747,1237.278485,1,CBOE S&P 500 INDEX,I,E
108105,20050103,20060617,20040809,C,950000,283.9,287.9,0,0.180229,21576014,1237.278485,1,CBOE S&P 500 INDEX,I,E
108105,20050103,20060617,20041220,C,500000,694.8,698.8,0,,21577201,1237.278485,1,CBOE S&P 500 INDEX,I,E
108105,20050103,20061216,,C,700000,512.6,516.6,0,,23947991,1253.154077,1,CBOE S&P 500 INDEX,I,E
108105,20050103,20061216,,C,850000,382,386,0,0.184086,23947990,1253.154077,1,CBOE S&P 500 INDEX,I,E
108105,20050103,20061216,,C,750000,468.3,472.3,0,,23947987,1253.154077,1,CBOE S&P 500 INDEX,I,E
108105,20050103,20061216,,C,800000,424.8,428.8,0,0.176356,23947984,1253.154077,1,CBOE S&P 500 INDEX,I,E
108105,20050103,20061216,,C,995000,262.7,266.7,0,0.174651,23947993,1253.154077,1,CBOE S&P 500 INDEX,I,E
108105,20050103,20061216,,C,900000,339.1,343.1,0,0.180121,23947992,1253.154077,1,CBOE S&P 500 INDEX,I,E
108105,20050103,20061216,,C,950000,298.4,302.4,0,0.178545,23947986,1253.154077,1,CBOE S&P 500 INDEX,I,E
108105,20050103,20060617,20050103,P,700000,4.1,4.4,1469,0.266403,21576013,1237.278485,1,CBOE S&P 500 INDEX,I,E
108105,20050103,20060617,20041221,P,600000,1.8,2.5,0,0.294063,21577199,1237.278485,1,CBOE S&P 500 INDEX,I,E
108105,20050103,20060617,,P,650000,2.5,4.1,0,0.283667,23386906,1237.278485,1,CBOE S&P 500 INDEX,I,E
108105,20050103,20060617,20050103,P,850000,10.1,12.9,10,0.233641,21576015,1237.278485,1,CBOE S&P 500 INDEX,I,E
108105,20050103,20060617,20041230,P,750000,5.5,7.5,0,0.259157,21576022,1237.278485,1,CBOE S&P 500 INDEX,I,E
